Symbol,Dataset
AAPL,http://www.apple.com
MSFT,http://www.microsoft.com
AMZN,http://www.amazon.com
GOOG,http://www.abc.xyz
GOOGL,http://www.abc.xyz
FB,http://investor.fb.com
BABA,http://www.alibabagroup.com
TSLA,http://www.tesla.com
BRK.B,http://www.berkshirehathaway.com
V,http://usa.visa.com
TSM,http://www.tsmc.com
WMT,http://www.stock.walmart.com
JNJ,http://www.jnj.com
JPM,http://www.jpmorganchase.com
PG,http://www.pginvestor.com
MA,http://www.mastercard.com
UNH,http://www.unitedhealthgroup.com
DIS,http://www.thewaltdisneycompany.com
NVDA,http://www.nvidia.com
HD,http://www.homedepot.com
PYPL,http://www.paypal.com
BAC,http://www.bankofamerica.com
TM,http://global.toyota/en
VZ,http://www.verizon.com
ADBE,http://www.adobe.com
CMCSA,http://corporate.comcast.com
KO,http://www.coca-colacompany.com
NFLX,http://www.netflix.com
NVS,http://www.novartis.com
NKE,http://www.nike.com
CRM,http://www.salesforce.com
PFE,http://www.pfizer.com
T,http://www.att.com
MRK,http://www.merck.com
PEP,http://www.pepsico.com
ASML,http://www.asml.com
ORCL,http://www.oracle.com
INTC,http://www.intel.com
ABT,http://www.abbott.com
CSCO,http://www.cisco.com
TMO,http://www.thermofisher.com
ABBV,http://www.abbvie.com
XOM,http://corporate.exxonmobil.com
AVGO,http://www.broadcom.com
ACN,http://www.accenture.com
QCOM,http://www.qualcomm.com
TMUS,http://www.t-mobile.com
CVX,http://www.chevron.com
COST,http://www.costco.com
PDD,http://www.pinduoduo.com
SAP,http://www.sap.com
MCD,http://corporate.mcdonalds.com
LLY,http://www.lilly.com
DHR,http://www.danaher.com
MDT,http://www.medtronic.com
UL,http://www.unilever.com
BBL,http://www.bhp.com
BHP,http://www.bhp.com
UPS,http://www.ups.com
HON,http://www.honeywell.com
TXN,http://www.ti.com
NEE,http://www.nexteraenergy.com
RDS.A,http://www.shell.com
LFC,http://www.e-chinalife.com
BMY,http://www.bms.com
UNP,http://www.up.com
SHOP,http://www.shopify.com
LIN,http://www.linde.com
AMGN,http://www.amgen.com
JD,http://www.jd.com
HDB,http://www.hdfcbank.com
AZN,http://www.astrazeneca.com
CHTR,http://corporate.charter.com
PM,http://www.pmi.com
NVO,http://www.novonordisk.com
C,http://www.citigroup.com
RDS.B,http://www.shell.com
WFC,http://www.wellsfargo.com
RIO,http://www.riotinto.com
BA,http://www.boeing.com
MS,http://www.morganstanley.com
SBUX,http://www.starbucks.com
SNY,http://www.sanofi.com
BUD,http://www.ab-inbev.com
LOW,http://www.lowes.com
RY,http://www.rbc.com
TOT,http://www.total.com
PTR,http://www.petrochina.com.cn
IBM,http://www.ibm.com
AMD,http://www.amd.com
RTX,http://www.rtx.com
BLK,http://www.blackrock.com
NOW,http://www.servicenow.com
HSBC,http://www.hsbc.com
ZM,http://www.zoom.us
SQ,http://www.squareup.com
MMM,http://www.3m.com
TD,http://www.td.com
SCHW,http://www.schwab.com
INTU,http://www.intuit.com
LMT,http://www.lockheedmartin.com
AMT,http://www.americantower.com
CAT,http://www.caterpillar.com
GE,http://www.ge.com
AXP,http://www.americanexpress.com
ISRG,http://www.intuitive.com
EL,http://www.elcompanies.com
UBER,http://www.uber.com
SE,http://www.seagroup.com
DEO,http://www.diageo.com
ABNB,http://www.airbnb.com
GSK,http://www.gsk.com
GS,http://www.goldmansachs.com
SYK,http://www.stryker.com
CVS,http://www.cvshealth.com
TGT,http://corporate.target.com
BKNG,http://www.bookingholdings.com
SNOW,http://www.snowflake.com
VALE,http://www.vale.com
BTI,http://www.bat.com
DE,http://www.deere.com
FIS,http://www.fisglobal.com
MDLZ,http://www.mondelezinternational.com
TJX,http://www.tjx.com
MELI,http://www.mercadolibre.com
MO,http://www.altria.com
MU,http://www.micron.com
CNI,http://www.cn.ca
ANTM,http://www.antheminc.com
BX,http://www.blackstone.com
ZTS,http://www.zoetis.com
BEKE,http://ke.com
AMAT,http://www.appliedmaterials.com
SPGI,http://www.spglobal.com
ADP,http://www.adp.com
FISV,http://www.fiserv.com
SNAP,http://www.snap.com
CI,http://www.cigna.com
INFY,http://www.infosys.com
CL,http://www.colgatepalmolive.com
BP,http://www.bp.com
PLD,http://www.prologis.com
GILD,http://www.gilead.com
NIO,http://www.nio.com
BDX,http://www.bd.com
PBR,http://petrobras.com.br/pt
USB,http://www.usbank.com
SNP,http://www.sinopec.com
PBR.A,http://petrobras.com.br/pt
FDX,http://www.fedex.com
ATVI,http://www.activisionblizzard.com
CSX,http://www.csx.com
CB,http://www.chubb.com/us-en
LRCX,http://www.lamresearch.com
CCI,http://www.crowncastle.com
BIDU,http://www.baidu.com
DUK,http://www.duke-energy.com
ADSK,http://www.autodesk.com
CME,http://www.cmegroup.com
SHW,http://www.sherwin-williams.com
BNS,http://www.scotiabank.com
TFC,http://www.truist.com
ENB,http://www.enbridge.com
ITW,http://www.itw.com
ICE,http://www.intercontinentalexchange.com
EQIX,http://www.equinix.com
SO,http://www.southerncompany.com
NTES,http://ir.netease.com
PNC,http://www.pnc.com
BAM,http://www.brookfield.com
GPN,http://www.globalpaymentsinc.com
GM,http://www.gm.com
VRTX,http://www.vrtx.com
ECL,http://www.ecolab.com
D,http://www.dominionenergy.com
ABB,http://www.global.abb/group/
SPOT,http://www.spotify.com
NSC,http://www.norfolksouthern.com
MUFG,http://www.mufg.jp
VMW,http://www.vmware.com
APD,http://www.airproducts.com
WDAY,http://www.workday.com
MMC,http://www.mmc.com
TEAM,http://www.atlassian.com
TWLO,http://www.twilio.com
PGR,http://www.progressive.com
TAK,http://www.takeda.com
EW,http://www.edwards.com
HCA,http://www.hcahealthcare.com
ITUB,http://www.itau.com.br
DELL,http://www.delltechnologies.com
UBS,http://www.ubs.com
SAN,http://www.santander.com
HUM,http://www.humana.com
EQNR,http://www.equinor.com
ILMN,http://www.illumina.com
ADI,http://www.analog.com
REGN,http://www.regeneron.com
MCO,http://www.moodys.com
DG,http://www.dollargeneral.com
NOC,http://www.northropgrumman.com
HMC,http://www.honda.co.jp
DD,http://www.dupont.com
BSX,http://www.bostonscientific.com
WM,http://www.wm.com
PHG,http://www.philips.com
SCCO,http://www.southerncoppercorp.com
BMO,http://www.bmo.com
AMX,http://www.americamovil.com
IBN,http://www.icicibank.com
EMR,http://www.emerson.com
ABEV,http://www.ambev.com.br
CRWD,http://www.crowdstrike.com
NEM,http://www.newmont.com
MNST,http://www.monsterbevcorp.com
PUK,http://www.prudentialplc.com
DASH,http://www.doordash.com
CP,http://www.cpr.ca
MRNA,http://www.modernatx.com
AON,http://www.aon.com
ETN,http://www.eaton.com
LULU,http://www.lululemon.com
BBD,http://banco.bradesco
PLTR,http://www.palantir.com
KMB,http://www.kimberly-clark.com
LVS,http://www.sands.com
KDP,http://www.keurigdrpepper.com
PTON,http://www.onepeloton.com
COF,http://www.capitalone.com
ROP,http://www.ropertech.com
VOD,http://www.vodafone.com
NXPI,http://www.nxp.com
EPD,http://www.enterpriseproducts.com
ROST,http://www.rossstores.com
ROKU,http://www.roku.com
TWTR,http://www.twitter.com
CTSH,http://www.cognizant.com
U,http://unity.com
PINS,http://www.pinterest.com
KHC,http://www.kraftheinzcompany.com
DOCU,http://www.DocuSign.com
COP,http://www.conocophillips.com
CVNA,http://www.carvana.com
GD,http://www.gd.com
RKT,http://www.rocketcompanies.com
RACE,http://www.ferrari.com
STZ,http://www.cbrands.com
IDXX,http://www.idexx.com
SMFG,http://www.smfg.co.jp
MAR,http://www.marriott.com
MET,http://www.metlife.com
VEEV,http://www.veeva.com
EXC,http://www.exeloncorp.com
ALGN,http://www.aligntech.com
EA,http://www.ea.com
NGG,http://www.nationalgridet.com
GOLD,http://www.barrick.com
TAL,http://www.100tal.com
MTCH,http://www.mtch.com
DOW,http://www.dow.com
BAX,http://www.baxter.com
AEP,http://www.aep.com
TRI,http://www.thomsonreuters.com
PSA,http://www.publicstorage.com
TEL,http://www.te.com
LHX,http://www.l3harris.com
ERIC,http://www.ericsson.com
CMG,http://www.chipotle.com
SNPS,http://www.synopsys.com
KLAC,http://www.kla.com
TTD,http://www.thetradedesk.com
APH,http://www.amphenol.com
DLR,http://www.digitalrealty.com
BCE,http://www.bce.ca
E,https://www.eni.com
TRP,http://www.tcenergy.com
CM,http://www.cibc.com
BIIB,http://www.biogen.com
SYY,http://www.sysco.com
CHWY,http://www.chewy.com
CDNS,http://www.cadence.com
CTAS,http://www.cintas.com
ING,http://www.ing.com
