Company,Link,Company_Website
Citadel Investment Group,https://www.wallstreetoasis.com/company/citadel-investment-group,https://www.citadel.com/about-citadel/
D.E. Shaw,https://www.wallstreetoasis.com/company/de-shaw,http://www.deshaw.com
Two Sigma Investments,https://www.wallstreetoasis.com/company/two-sigma-investments,http://www.twosigma.com
Millennium Partners,https://www.wallstreetoasis.com/company/millennium-partners,https://www.mlp.com/
Och-Ziff Capital Management Group,https://www.wallstreetoasis.com/company/och-ziff-capital-management-group,https://www.sculptor.com/
Balyasny Asset Management,https://www.wallstreetoasis.com/company/balyasny-asset-management,http://www.bamfunds.com/
Oak Hill Advisors,https://www.wallstreetoasis.com/company/oak-hill-advisors,http://oakhilladvisors.com/
Highland Capital Management,https://www.wallstreetoasis.com/company/highland-capital-management,https://www.highlandcap.com/
Highbridge Capital Management,https://www.wallstreetoasis.com/company/highbridge-capital-management,https://www.highbridge.com/
GSO Capital Partners,https://www.wallstreetoasis.com/company/gso-capital-partners,http://www.blackstone.com/our-businesses/aam/credit-businesses-(gso)
Blue Mountain Capital,https://www.wallstreetoasis.com/company/blue-mountain-capital,https://www.bluemountaincapital.com
Permal Asset Management,https://www.wallstreetoasis.com/company/permal-asset-management,https://www.entrustglobal.com/
400 Capital Management LLC,https://www.wallstreetoasis.com/company/400-capital-management-llc,http://www.400capital.com
Farallon Capital Management,https://www.wallstreetoasis.com/company/farallon-capital-management,http://www.faralloncapital.com/farallon/
Pine River Capital Management,https://www.wallstreetoasis.com/company/pine-river-capital-management,https://pinerivercapital.com/
Sankaty Advisors,https://www.wallstreetoasis.com/company/sankaty-advisors,https://www.sankaty.com/
Novus Partners,https://www.wallstreetoasis.com/company/novus-partners,http://novus.com
Marathon Asset Management,https://www.wallstreetoasis.com/company/marathon-asset-management,http://www.marathonfund.com/
Ruane Cunniff & Goldfarb,https://www.wallstreetoasis.com/company/ruane-cunniff-goldfarb,http://www.sequoiafund.com
SkyBridge Capital II LLC,https://www.wallstreetoasis.com/company/skybridge-capital-ii-llc,http://skybridgecapital.com/
Kynikos Associates,https://www.wallstreetoasis.com/company/kynikos-associates,https://kynikos.com/
Goldmark Advisers,https://www.wallstreetoasis.com/company/goldmark-advisers,http://www.goldmarkadvisers.com/
Elliott Management Corporation,https://www.wallstreetoasis.com/company/elliott-management-corporation,http://www.elliottmgmt.com
Antarctica Asset Management,https://www.wallstreetoasis.com/company/antarctica-asset-management,http://www.antarcticaam.com/
Davidson Kempner Capital Management,https://www.wallstreetoasis.com/company/davidson-kempner-capital-management,https://www.davidsonkempner.com//
Asante Partners,https://www.wallstreetoasis.com/company/asante-partners,https://www.asantecapital.com/
MSD Capital,https://www.wallstreetoasis.com/company/msd-capital,http://msdcapital.com/
P. Schoenfeld Asset Management,https://www.wallstreetoasis.com/company/p-schoenfeld-asset-management,https://psam.com/
PDT Partners,https://www.wallstreetoasis.com/company/pdt-partners,https://www.pdtpartners.com/
Magnitude Capital LLC,https://www.wallstreetoasis.com/company/magnitude-capital-llc,http://www.magnitudecapital.com/
King Street Capital Management,https://www.wallstreetoasis.com/company/king-street-capital-management,http://www.kingstreet.com
Investcorp Investment Advisers,https://www.wallstreetoasis.com/company/investcorp-investment-advisers,https://www.investcorp.com/
The Rohatyn Group,https://www.wallstreetoasis.com/company/the-rohatyn-group,https://www.rohatyngroup.com/
Unicom Capital,https://www.wallstreetoasis.com/company/unicom-capital,http://www.unicomcapital.com/
Ambac,https://www.wallstreetoasis.com/company/ambac,http://www.ambac.com
Atalaya Capital Management,https://www.wallstreetoasis.com/company/atalaya-capital-management,http://www.atalayacap.com
Glazer Capital,https://www.wallstreetoasis.com/company/glazer-capital,http://www.glazercapital.com
Scopia Capital Management LLC,https://www.wallstreetoasis.com/company/scopia-capital-management-llc,http://www.scopiacapital.com/
Beach Point Capital Management,https://www.wallstreetoasis.com/company/beach-point-capital-management,http://beachpointcapital.com/
Chilton Investment Company,https://www.wallstreetoasis.com/company/chilton-investment-company,http://www.chiltonfunds.com
Harbert Management Corporation,https://www.wallstreetoasis.com/company/harbert-management-corporation,http://www.harbert.net/
Avenue Capital Group,https://www.wallstreetoasis.com/company/avenue-capital-group,http://www.avenuecapital.com/
Weiss Multi Strategy Advisors LLC,https://www.wallstreetoasis.com/company/weiss-multi-strategy-advisors-llc,https://www.gweiss.com/
New World Capital Group,https://www.wallstreetoasis.com/company/new-world-capital-group,http://www.newworldcapital.net
First Eagle Investment Management,https://www.wallstreetoasis.com/company/first-eagle-investment-management,http://www.firsteagleinstitutional.com
Cedarview Capital Management,https://www.wallstreetoasis.com/company/cedarview-capital-management,http://www.cedarviewcapital.com
Arden Asset Management,https://www.wallstreetoasis.com/company/arden-asset-management,http://www.ardenasset.com/
Rebellion Research,https://www.wallstreetoasis.com/company/rebellion-research,http://www.rebellionresearch.com
Gilder Gagnon Howe,https://www.wallstreetoasis.com/company/gilder-gagnon-howe,https://www.gghc.com/
Atlantic Investment Management,https://www.wallstreetoasis.com/company/atlantic-investment-management,http://www.atlanticinvestment.net
Corsair Capital Advisors,https://www.wallstreetoasis.com/company/corsair-capital-advisors,http://www.corsaircap.com
Spark Investment Management,https://www.wallstreetoasis.com/company/spark-investment-management,http://www.sparkamg.com
Brevet Capital Management,https://www.wallstreetoasis.com/company/brevet-capital-management,http://brevetcapital.com/
Element Capital Management,https://www.wallstreetoasis.com/company/element-capital-management,http://www.elementcapital.com
Olympia Capital Management,https://www.wallstreetoasis.com/company/olympia-capital-management,http://www.olympiagroup.com/ogc-en/index.php
Elliott Associates,https://www.wallstreetoasis.com/company/elliott-associates,http://www.elliottmgmt.com/
Allegiant Capital Corporation,https://www.wallstreetoasis.com/company/allegiant-capital-corporation,http://www.allegiantcapitalgroup.com/
Luminus Management,https://www.wallstreetoasis.com/company/luminus-management,http://www.luminusmgmt.com/
Asia Capital Group, Ltd.,https://www.wallstreetoasis.com/company/asia-capital-group-ltd,http://www.asiacap.net/
Lighthouse Partners,https://www.wallstreetoasis.com/company/lighthouse-partners,http://www.lighthousepartners.com/
Bennett Lawrence Management,https://www.wallstreetoasis.com/company/bennett-lawrence-management,http://www.bennettlawrence.com
Abel Noser,https://www.wallstreetoasis.com/company/abel-noser,http://abelnoser.com
Harbinger Group Inc,https://www.wallstreetoasis.com/company/harbinger-group-inc,http://www.harbingergroupinc.com
Artio Global Investors,https://www.wallstreetoasis.com/company/artio-global-investors,http://www.artioglobal.com
Sandell Asset Management,https://www.wallstreetoasis.com/company/sandell-asset-management,http://www.sandellmgmt.com
Visium Partners Advisory Group,https://www.wallstreetoasis.com/company/visium-partners-advisory-group,http://www.visiumpartners.com/
Asian Century Quest Capital,https://www.wallstreetoasis.com/company/asian-century-quest-capital,http://www.acqcap.com
Agamas Capital Management,https://www.wallstreetoasis.com/company/agamas-capital-management,http://www.agamascapital.com
Man Investments AG,https://www.wallstreetoasis.com/company/man-investments-ag,https://www.maninvestments.com/sites/us/ind-guest/index.html
Vega Asset Management,https://www.wallstreetoasis.com/company/vega-asset-management,http://vegaassetmanagement.org/
Mosaic Research Management,https://www.wallstreetoasis.com/company/mosaic-research-management,http://www.mosaicrm.com
Greenlight Capital,https://www.wallstreetoasis.com/company/greenlight-capital-0,https://www.greenlightcapital.com/
York Capital Management,https://www.wallstreetoasis.com/company/york-capital-management,http://www.yorkcapital.com/
Indus Capital Partners,https://www.wallstreetoasis.com/company/indus-capital-partners,http://www.induscap.com
Pershing Square Capital Management, L.P.,https://www.wallstreetoasis.com/company/pershing-square-capital-management-lp,https://www.pershingsquareholdings.com/
Lyrical Partners,https://www.wallstreetoasis.com/company/lyrical-partners,http://www.lyricalpartners.com
Trian Partners,https://www.wallstreetoasis.com/company/trian-partners,https://www.trianpartners.com/
Phoenix Investment Adviser,https://www.wallstreetoasis.com/company/phoenix-investment-adviser,http://phoenixinvadv.com/
Moon Capital Management,https://www.wallstreetoasis.com/company/moon-capital-management,http://mooncap.com
Blue Ridge Capital Holdings LLC,https://www.wallstreetoasis.com/company/blue-ridge-capital-holdings-llc,https://www.wallstreetoasis.com/n/a
Formula Growth,https://www.wallstreetoasis.com/company/formula-growth,http://www.formulagrowth.ca
HigdonBraddockMatthews,https://www.wallstreetoasis.com/company/higdonbraddockmatthews,http://www.hbm-llc.com
Krensavage Asset Management LLC,https://www.wallstreetoasis.com/company/krensavage-asset-management-llc,http://krensavage.com/
Andrew Garrett Inc,https://www.wallstreetoasis.com/company/andrew-garrett-inc,http://www.andrewgarrett.com/index.php
Fulcrum Asset Management,https://www.wallstreetoasis.com/company/fulcrum-asset-management,http://www.fulcrumasset.com
Kerrisdale Capital Management,https://www.wallstreetoasis.com/company/kerrisdale-capital-management,http://www.kerrisdalecap.com
Brencourt Advisors,https://www.wallstreetoasis.com/company/brencourt-advisors,http://www.brencourt.com
Crescendo Partners,https://www.wallstreetoasis.com/company/crescendo-partners,http://www.crescentbaycapital.com
Arlon Group,https://www.wallstreetoasis.com/company/arlon-group,http://www.arlongroup.com/
Clarium Capital,https://www.wallstreetoasis.com/company/clarium-capital,https://www.clarium.com/
Light Sky Macro,https://www.wallstreetoasis.com/company/light-sky-macro,http://www.lightskymacro.com
Brigade Capital Management,https://www.wallstreetoasis.com/company/brigade-capital-management,http://www.brigadecapital.com
West Side Advisors,https://www.wallstreetoasis.com/company/west-side-advisors,http://wsadv.com/
HedgeCo LLC,https://www.wallstreetoasis.com/company/hedgeco-llc,http://www.hedgeco.net
EPFC Group,https://www.wallstreetoasis.com/company/epfc-group,http://epfc.group
TongYang Securities,https://www.wallstreetoasis.com/company/tongyang-securities,http://www.tys.co.kr
Alden Global Capital Limited,https://www.wallstreetoasis.com/company/alden-global-capital-limited,http://www.aldenglobal.com
LR Global Partners LLC,https://www.wallstreetoasis.com/company/lr-global-partners-llc,http://www.lrglobal.com
Guggenheim Partners,https://www.wallstreetoasis.com/company/guggenheim-partners,http://www.guggenheimpartners.com/
Blackstone Group,https://www.wallstreetoasis.com/company/blackstone-group,http://www.blackstone.com
AllianceBernstein,https://www.wallstreetoasis.com/company/alliancebernstein,http://www.alliancebernstein.com
1861 Capital,https://www.wallstreetoasis.com/company/1861-capital,http://www.1861capital.com
Oaktree Capital Management,https://www.wallstreetoasis.com/company/oaktree-capital-management,http://www.oaktreecapital.com/default.aspx?AspxAutoDetectCookieSupport=1
Ares Management,https://www.wallstreetoasis.com/company/ares-management,http://www.aresmgmt.com
LGT Capital Partners,https://www.wallstreetoasis.com/company/lgt-capital-partners,http://www.lgt-capital-partners.com/en/index.html
B. Riley & Co.,https://www.wallstreetoasis.com/company/b-riley-co,http://brileyco.com
Investec Asset Management,https://www.wallstreetoasis.com/company/investec-asset-management,http://www.investecassetmanagement.com/
Angelo Gordon & Co,https://www.wallstreetoasis.com/company/angelo-gordon-co,http://angelogordon.com/
Cohen & Steers Capital Management,https://www.wallstreetoasis.com/company/cohen-steers-capital-management,http://www.cohenandsteers.com
Platinum Equity,https://www.wallstreetoasis.com/company/platinum-equity,http://www.platinumequity.com/
Rothstein Kass,https://www.wallstreetoasis.com/company/rothstein-kass,http://www.rkco.com/
Third Point LLC,https://www.wallstreetoasis.com/company/third-point-llc,http://www.thirdpoint.com/
KBW Asset Management,https://www.wallstreetoasis.com/company/kbw-asset-management,http://www.kbw.com
Advent Capital Management,https://www.wallstreetoasis.com/company/advent-capital-management,http://www.adventcap.com
Gordon Brothers,https://www.wallstreetoasis.com/company/gordon-brothers,http://www.gordonbrothers.com/
Argonaut Capital Management,https://www.wallstreetoasis.com/company/argonaut-capital-management,http://argonautcap.com/
Michael Page,https://www.wallstreetoasis.com/company/michael-page,http://www.michaelpage.com
Broadreach Group,https://www.wallstreetoasis.com/company/broadreach-group,http://broadreachgrp.com/
Zweig DiMenna Associates,https://www.wallstreetoasis.com/company/zweig-dimenna-associates,http://www.zweig-dimenna.com
Golden Archer Investments,https://www.wallstreetoasis.com/company/golden-archer-investments,http://goldenarcherinvestments.com
PCS Research Services,https://www.wallstreetoasis.com/company/pcs-research-services,http://www.pcsresearchservices.com/
HG Vora Capital Management,https://www.wallstreetoasis.com/company/hg-vora-capital-management,http://www.hgvoracapital.com/
KBC Alternative Investment Management Ltd,https://www.wallstreetoasis.com/company/kbc-alternative-investment-management-ltd,http://www.kbcaim.com/
UBP Asset Management,https://www.wallstreetoasis.com/company/ubp-asset-management,http://www.ubpam.com
Steadfast Financial,https://www.wallstreetoasis.com/company/steadfast-financial,http://www.steadfast.com/
Ahab Capital Management,https://www.wallstreetoasis.com/company/ahab-capital-management,http://www.ahabcap.com
Glocap Search,https://www.wallstreetoasis.com/company/glocap-search,http://www.glocap.com
Abernathy Financial Services,https://www.wallstreetoasis.com/company/abernathy-financial-services,http://www.abernathyfinancial.com
Access International Advisors,https://www.wallstreetoasis.com/company/access-international-advisors,http://www.argentfunds.com
SG Partners,https://www.wallstreetoasis.com/company/sg-partners,http://sgpartners.com/
Apache Capital Management,https://www.wallstreetoasis.com/company/apache-capital-management,http://apachecapital.com
Options Group,https://www.wallstreetoasis.com/company/options-group,http://optionsgroup.com
JANA Partners,https://www.wallstreetoasis.com/company/jana-partners,http://www.janapartners.com
BHR Capital,https://www.wallstreetoasis.com/company/bhr-capital,http://www.bhrcap.com
Dynamic Credit Partners,https://www.wallstreetoasis.com/company/dynamic-credit-partners,http://www.dynamiccredit.com
Russell Reynolds Associates,https://www.wallstreetoasis.com/company/russell-reynolds-associates,http://www.russellreynolds.com
Steel Partners,https://www.wallstreetoasis.com/company/steel-partners,http://www.steelpartners.com/
Greylock Capital Management,https://www.wallstreetoasis.com/company/greylock-capital-management,http://www.greylockcapital.com
Mason Capital Management LLC,https://www.wallstreetoasis.com/company/mason-capital-management-llc,http://www.masoncapital.com/index.html
JBGlobal,https://www.wallstreetoasis.com/company/jbglobal,http://www.jbglobal.com
Safra Group,https://www.wallstreetoasis.com/company/safra-group,http://www.safra.com.br
Mission Staffing,https://www.wallstreetoasis.com/company/mission-staffing,http://www.missionstaffing.com
Cape One Financial,https://www.wallstreetoasis.com/company/cape-one-financial,http://www.capeonefinancial.com
Hamlin Capital Management,https://www.wallstreetoasis.com/company/hamlin-capital-management,http://www.hamlincm.com
Compass Group,https://www.wallstreetoasis.com/company/compass-group,http://www.compassny.com
Paulson & Co,https://www.wallstreetoasis.com/company/paulson-co,http://www.paulsonco.com
International Market Recruiters,https://www.wallstreetoasis.com/company/international-market-recruiters,http://goimr.com
Arcoda Capital Management,https://www.wallstreetoasis.com/company/arcoda-capital-management,http://www.arcodacapital.com/
Shenkman Capital Management Inc,https://www.wallstreetoasis.com/company/shenkman-capital-management-inc,https://www.shenkmancapital.com/
ExecuSearch Group,https://www.wallstreetoasis.com/company/execusearch-group,http://www.execu-search.com
Aetos Capital,https://www.wallstreetoasis.com/company/aetos-capital,http://www.aetoscapital.com/
Arena Capital Management,https://www.wallstreetoasis.com/company/arena-capital-management,http://www.arenacap.com
C.E. Unterberg Towbin,https://www.wallstreetoasis.com/company/ce-unterberg-towbin-0,http://www.unterberg.com
JSB Partners,https://www.wallstreetoasis.com/company/jsb-partners-0,http://www.jsbpartners.com
Parker Clark Executive Recruitment,https://www.wallstreetoasis.com/company/parker-clark-executive-recruitment,http://parkerclarkexec.com
Shenkman Capital Management Inc,https://www.wallstreetoasis.com/company/shenkman-capital-management-inc,https://www.shenkmancapital.com/
Arcoda Capital Management,https://www.wallstreetoasis.com/company/arcoda-capital-management,http://www.arcodacapital.com/
ExecuSearch Group,https://www.wallstreetoasis.com/company/execusearch-group,http://www.execu-search.com
Aetos Capital,https://www.wallstreetoasis.com/company/aetos-capital,http://www.aetoscapital.com/
Arena Capital Management,https://www.wallstreetoasis.com/company/arena-capital-management,http://www.arenacap.com
C.E. Unterberg Towbin,https://www.wallstreetoasis.com/company/ce-unterberg-towbin-0,http://www.unterberg.com
Atticus Capital,https://www.wallstreetoasis.com/company/atticus-capital,http://www.atticuscapital.com/
JSB Partners,https://www.wallstreetoasis.com/company/jsb-partners-0,http://www.jsbpartners.com
International Asset Management Ltd,https://www.wallstreetoasis.com/company/international-asset-management-ltd,http://www.iam.uk.com/
SearchOne Advisors,https://www.wallstreetoasis.com/company/searchone-advisors,http://search1.com
Alcentra Avila,https://www.wallstreetoasis.com/company/alcentra-avila,http://www.alcentra.com
Ingalls & Snyder,https://www.wallstreetoasis.com/company/ingalls-snyder,http://www.ingalls.net
CQS,https://www.wallstreetoasis.com/company/cqs,http://www.cqs.ch
Armory Advisors,https://www.wallstreetoasis.com/company/armory-advisors,http://www.armoryfunds.com
Firebird Management,https://www.wallstreetoasis.com/company/firebird-management,http://www.fbird.com
PrimeShares World Markets,https://www.wallstreetoasis.com/company/primeshares-world-markets,http://www.primeshares.com/home/
Zooz Capital Management,https://www.wallstreetoasis.com/company/zooz-capital-management,http://www.zoozcapital.com
Smith Hanley,https://www.wallstreetoasis.com/company/smith-hanley,http://www.smithhanley.com
Kinetics Advisers,https://www.wallstreetoasis.com/company/kinetics-advisers,http://www.horizonkinetics.com
Briarwood Capital Management,https://www.wallstreetoasis.com/company/briarwood-capital-management,http://www.briarwoodcapital.com
