Firm;Link;Description
3Red Partners;https://www.3redpartners.com;3Red Partners 3Red Partners bridges technology and trading. (Amsterdam, London, Chicago, New York, Singapore)
Akuna Capital;https://akunacapital.com/;Akuna Capital Akuna Capital is a fast-growing boutique trading house that specializes in derivative market-making and arbitrage. (Chicago)
Amplify Trading;https://www.amplifytrading.com;Amplify Trading Amplify Trading is a proprietary trading company specialising in the development of new trading talent offering direct experience in financial markets. (London, Madrid, Paris, Frankfurt, Brisbane)
Avatar Securities;https://avatarsecurities.com/;Avatar Securities Avatar Securities, LLC is a proprietary trading firm providing trading services for individual traders and large trading groups. Avatar specializes in direct market access, systematic, and algorithmic trading in equities and exchange listed options with robust trading floors in Manhattan, Chicago and a presence nationwide. (New York, Chicago). (New York, Chicago)
Belvedere Trading;http://www.belvederetrading.com/;Belvedere Trading Belvedere Trading is a proprietary trading firm specializing in equity index options. (Chicago)
Bluefin Companies;http://www.bfcm.com/;Bluefin Companies Bluefin Companies is a privately-owned multi-strategy trading firm. We are focused on seeking out trading and investment opportunities to grow our capital in the global financial markets. (New York, London, Chicago, Hong Kong)
Breakwater Trading;https://www.breakwater.com/;Breakwater Trading Breakwater is an agile, focused, proactive organization that strives to integrate technology with intelligence and market vision. (Chicago)
Bright Trading;https://www.stocktrading.com/;Bright Trading Bright Trading, LLC is a professional, proprietary stock trading firm. We have hundreds of independent traders who trade from dozens of locations throughout the United States. In addition, our “Bright-At-Home” traders enjoy the benefits of proprietary trading from the comfort of their homes. (Las Vegas)
Chicago Trading Company;https://www.chicagotrading.com/;Chicago Trading Company Chicago Trading Company (CTC) is a proprietary market making firm and is recognized internationally as a leading provider of pricing and liquidity on all U.S. derivatives exchanges. (Chicago, New York, London)
Chopper Trading;https://choppertrading.com/;Chopper Trading Driven by pioneering technology and research, Chopper Trading LLC’s multidisciplinary team of traders and analysts rapidly identify and capitalize on emerging opportunities. (Chicago, London, New York, Washington DC)
Da Vinci;https://davincitrading.com/;Da Vinci Da Vinci is a proprietary trading house made up of some of the sharpest minds and most passionate players in the industry. (Amsterdam)
DRW Trading Group;https://www.drwtradinggroup.com/;DRW Trading Group The DRW Trading Group is an aggressive, dedicated organization engaged in many different aspects of the trading industry, including market making and proprietary trading. Offices in Chicago, New York and London.
DV Trading;https://www.dvtrading.co;DV Trading Since 2006, our mission has been to adapt, innovate and evolve. In all aspects of our organization, it is a core belief that these three action words help define the roadmap to success. (Chicago, New York, Toronto)
